activity_id,canonical_match_label,canonical_plain_label,discriminating,cluster_id,raw_count,cluster_member_phrases
a000,prepare reports and briefings,"writing reports, briefings and updates for management and stakeholders",Yes,61,163,"prepare and deliver regular reports | prepare reports on service issues and outcomes | prepare advice and reports for management | prepare performance and activity reports | enter data and generate reports | prepare performance and compliance reports | prepare reports | prepare technical estimates | prepare operational reports and information | prepare routine reports for senior stakeholders | prepare data reports and briefings | prepare performance metrics and reports | prepare management reports | prepare reports, briefings and correspondence | prepare operational reports for management | prepare reports on costs and forecasts | prepare management reports and commentary | develop reports and performance data | prepare reports and data visualisations | prepare reports and status updates | prepare written and verbal reports | prepare compliance reports for management | prepare reports and analysis | prepare routine and custom reports | prepare sales activity reports | prepare and provide data and reports | prepare reports and analyse performance data | prepare executive performance reports | prepare operational performance reports | prepare draft reports | prepare accurate reports for management | prepare periodic performance reports and dashboards | prepare reports for committees and management | prepare performance reports | validate data and prepare reports | prepare reports and draft documents | prepare reports and presentations on findings | prepare project performance reports | prepare and submit funder reports | prepare and distribute standard reports | prepare reports and analysis for managers | prepare reports and briefing papers | prepare reports and briefing documents | schedule and deliver routine reports | prepare plans and annual outcome reports | prepare and deliver data reports | prepare reports and presentations | prepare reports for management | prepare reports on policy effectiveness | review and prepare reports | prepare reports on program outcomes | prepare data visualisations and summary reports | prepare and distribute reports | prepare and manage regular reports | prepare reports for senior management | prepare clear written reports | prepare reports for stakeholders | prepare reports from complex information | prepare reports for external bodies | prepare performance reports for stakeholders | prepare statutory reports for external agencies | prepare and present management reports | prepare reports for external agencies | prepare performance evaluation reports | prepare reports and funding submissions | prepare administrative reports | prepare monthly financial management reports | prepare performance reports and analysis | prepare reports, submissions and fact sheets | prepare technical papers and reports | prepare reports, briefings and submissions | prepare reports for compliance requirements | prepare reports submissions and briefings | prepare performance reports and scorecards | prepare and distribute reports and dashboards | distribute reports to stakeholders | prepare reports for governance forums | prepare reports for senior committees | prepare recurring reports and statistics | prepare briefings and reports | prepare reports and briefings on findings | prepare statistics and reports for reporting purposes | prepare routine reports | prepare reports and briefings for senior decision makers | prepare reports and submissions for stakeholders | prepare and submit recurring data reports | collate data and prepare reports | prepare performance commentary and dashboards | prepare performance reports and briefings | prepare and deliver reports and presentations | prepare written briefings, reports and submissions | prepare reports on operational information | prepare reports with informed commentary | prepare reports on trends and opportunities | prepare and deliver presentations | prepare performance data and reports | prepare technical reports and documentation | interpret data and prepare reports | prepare management and statistical reports | prepare and deliver reports to stakeholders | prepare reports on service performance | prepare performance reports against agreed targets | prepare reports and presentations for decision makers | prepare operational reports | prepare performance reports and recommendations | prepare performance reports and trend analysis | prepare performance reports for management | prepare accurate reports | prepare steering committee reports | prepare and submit executive reports | prepare and distribute progress reports | prepare reports for external stakeholders | prepare reports, briefings and fact sheets | prepare analytical reports and advice | prepare operational and staffing reports | prepare reports from system data | prepare reports for managers | prepare reports for internal and external stakeholders | prepare reports briefings and presentations | prepare reports on program effectiveness | prepare reports and data analysis | prepare reports for governance committees | prepare reports from records and data | prepare reports and briefings for decision makers | prepare accurate and timely reports | prepare and deliver status reports | prepare reports for senior and external audiences | prepare reports for senior stakeholders | prepare activity and performance reports | prepare governance and performance reports"
a001,prepare technical estimates,working out technical cost or effort estimates,Yes,61,163,"prepare and deliver regular reports | prepare reports on service issues and outcomes | prepare advice and reports for management | prepare performance and activity reports | enter data and generate reports | prepare performance and compliance reports | prepare reports | prepare technical estimates | prepare operational reports and information | prepare routine reports for senior stakeholders | prepare data reports and briefings | prepare performance metrics and reports | prepare management reports | prepare reports, briefings and correspondence | prepare operational reports for management | prepare reports on costs and forecasts | prepare management reports and commentary | develop reports and performance data | prepare reports and data visualisations | prepare reports and status updates | prepare written and verbal reports | prepare compliance reports for management | prepare reports and analysis | prepare routine and custom reports | prepare sales activity reports | prepare and provide data and reports | prepare reports and analyse performance data | prepare executive performance reports | prepare operational performance reports | prepare draft reports | prepare accurate reports for management | prepare periodic performance reports and dashboards | prepare reports for committees and management | prepare performance reports | validate data and prepare reports | prepare reports and draft documents | prepare reports and presentations on findings | prepare project performance reports | prepare and submit funder reports | prepare and distribute standard reports | prepare reports and analysis for managers | prepare reports and briefing papers | prepare reports and briefing documents | schedule and deliver routine reports | prepare plans and annual outcome reports | prepare and deliver data reports | prepare reports and presentations | prepare reports for management | prepare reports on policy effectiveness | review and prepare reports | prepare reports on program outcomes | prepare data visualisations and summary reports | prepare and distribute reports | prepare and manage regular reports | prepare reports for senior management | prepare clear written reports | prepare reports for stakeholders | prepare reports from complex information | prepare reports for external bodies | prepare performance reports for stakeholders | prepare statutory reports for external agencies | prepare and present management reports | prepare reports for external agencies | prepare performance evaluation reports | prepare reports and funding submissions | prepare administrative reports | prepare monthly financial management reports | prepare performance reports and analysis | prepare reports, submissions and fact sheets | prepare technical papers and reports | prepare reports, briefings and submissions | prepare reports for compliance requirements | prepare reports submissions and briefings | prepare performance reports and scorecards | prepare and distribute reports and dashboards | distribute reports to stakeholders | prepare reports for governance forums | prepare reports for senior committees | prepare recurring reports and statistics | prepare briefings and reports | prepare reports and briefings on findings | prepare statistics and reports for reporting purposes | prepare routine reports | prepare reports and briefings for senior decision makers | prepare reports and submissions for stakeholders | prepare and submit recurring data reports | collate data and prepare reports | prepare performance commentary and dashboards | prepare performance reports and briefings | prepare and deliver reports and presentations | prepare written briefings, reports and submissions | prepare reports on operational information | prepare reports with informed commentary | prepare reports on trends and opportunities | prepare and deliver presentations | prepare performance data and reports | prepare technical reports and documentation | interpret data and prepare reports | prepare management and statistical reports | prepare and deliver reports to stakeholders | prepare reports on service performance | prepare performance reports against agreed targets | prepare reports and presentations for decision makers | prepare operational reports | prepare performance reports and recommendations | prepare performance reports and trend analysis | prepare performance reports for management | prepare accurate reports | prepare steering committee reports | prepare and submit executive reports | prepare and distribute progress reports | prepare reports for external stakeholders | prepare reports, briefings and fact sheets | prepare analytical reports and advice | prepare operational and staffing reports | prepare reports from system data | prepare reports for managers | prepare reports for internal and external stakeholders | prepare reports briefings and presentations | prepare reports on program effectiveness | prepare reports and data analysis | prepare reports for governance committees | prepare reports from records and data | prepare reports and briefings for decision makers | prepare accurate and timely reports | prepare and deliver status reports | prepare reports for senior and external audiences | prepare reports for senior stakeholders | prepare activity and performance reports | prepare governance and performance reports"
a002,provide advice and guidance to stakeholders,give advice and guidance to stakeholders and staff,No,137,137,"provide advice on operational practices | provide advice on technical processes | provide advice on rostering and resourcing | provide advice and support on cyclical processes | provide consistent and timely advice | provide advice on complex business issues | provide advice on policies and procedures | provide advice to stakeholders | provide advice and information to stakeholders | provide advice on technical issues | provide advice and support to a manager | provide advice on workforce matters | provide advice on rules and requirements | provide advice and support to teams | provide advice and support to delivery teams | provide advice on business growth opportunities | provide advice on applying frameworks and processes | provide advice on compliance requirements | provide tailored financial advice and support | provide advice on operations and services | provide advice on processes and procedures | provide advice on plan objectives | provide advice on remuneration and benefits | provide advice on performance issues | provide advice and support on contract matters | provide advice to key stakeholders | provide advice on supplier management | provide financial advice to staff | provide advice and handle escalations | provide advice on contract implementation | provide advice on governance and compliance | provide advice and support on business systems | provide advice on people management issues | provide advice on regulatory requirements | provide compliance advice and support | provide advice to staff on policy requirements | provide advice and resolve problems | provide advice on system processes | provide advice and updates to managers | provide advice and escalation support to staff | provide advice on employee services matters | provide advice and support to staff | provide advice to resolve complex issues | provide policy and process advice | provide advice on planning matters | provide advice and interpretation to staff | provide policy advice using legislative frameworks | provide advice on contract matters | provide advice on processes and policy | formulate advice using frameworks | provide advice on complex issues | provide advice on organisational frameworks | provide advice on options and pathways | provide advice on internal processes | provide advice to staff and programs | provide advice on new initiatives | provide specialised advice to stakeholders | provide advice and support to internal stakeholders | provide advice to internal stakeholders | provide advice on operational planning and delivery | provide advice and briefings during incidents | provide advice on accounting standards | provide advice on technical requirements | provide advice based on research and data | provide financial advice and support | provide policy advice and recommendations | translate complex material into clear advice | provide advice on operational matters | provide policy advice and research | provide advice and reports to management | provide advice to resolve issues and risks | provide advice on guidelines to teams | provide advice to resolve user problems | provide advice on project delivery | provide coaching and advice | provide advice on engagement activities | provide advice on system implementation | provide advice and direction on systems | provide advice on improvement proposals | research issues and provide improvement advice | research issues and provide advice | review proposals and provide advice | provide advice on technical solutions | interpret regulatory requirements and provide advice | provide consistent messaging and advice | provide advice and feedback to stakeholders | provide advice on computer use | provide advice on program resourcing and delivery | provide advice to management | provide advice, information and referrals | provide advice to manager on service issues | provide advice on policies and priorities | provide advice on policy and procedures | provide advice on plans and implementation | provide advice to clients and stakeholders | provide procedural advice and support to staff | provide advice on delivery plans and priorities | provide advice on policy initiatives | provide advice to support case resolution | provide advice on operational services | provide advice and support on engagement initiatives | provide advice and coaching to stakeholders | provide operational advice to stakeholders | provide advice and resolve queries | provide practical advice and support to teams | provide advice on compliance standards | provide system advice to stakeholders | provide advice on quality and compliance practices | provide advice on system issues | provide policy advice informed by context | provide confidential advice on sensitive issues | provide career and employment advice | provide advice on standards and requirements | provide advice on processes and systems | provide advice on local issues and risks | provide advice and respond to queries"
a003,manage service delivery teams and operations,Leading and overseeing the people and day-to-day work that deliver a service,Yes,286,133,manage service delivery and processes | coordinate service delivery and promotion | coordinate service delivery across functional areas | support team service delivery | support implementation of a service delivery model | coordinate service delivery across teams | manage safety within service delivery | manage safety in service delivery | manage team service delivery standards | manage a service delivery team | plan service delivery for peak demand | monitor service delivery against agreed standards | coach staff to improve service delivery | lead delivery of a service portfolio | monitor team service delivery | maintain safety in service delivery | coordinate service delivery with internal stakeholders | monitor service delivery performance | lead and guide support service delivery teams | monitor service delivery across channels | address gaps in service delivery | manage costs of service delivery programs | lead strategic planning for service delivery | oversee service delivery and performance | manage service delivery risks | lead and transform a service function | set service delivery strategy and standards | oversee service delivery | resolve emerging service delivery issues | align service delivery with business objectives | monitor safety in service delivery | manage safety compliance in service delivery | manage service delivery across multiple sites | maintain systems supporting service delivery | plan service delivery capacity and resourcing | promote high quality service delivery | oversee service delivery standards | identify risks to service delivery | develop and improve service delivery methods | recommend service delivery improvements | oversee transactional service delivery | lead and manage service delivery teams | improve operational service delivery | monitor service delivery channel performance | monitor and improve service delivery outcomes | lead large-scale service delivery | lead and manage a service delivery team | promote high quality cost effective service delivery | lead a service delivery function | monitor quality and timeliness of service delivery | align investment with service delivery needs | support consistent service delivery | coordinate service delivery with internal teams | monitor service delivery against service agreements | monitor service delivery against agreed levels | improve customer service delivery | lead a service delivery team | manage a service delivery function | resolve supplier and service delivery issues | manage service delivery changes | advise on improving service delivery | improve processes and service delivery | monitor and measure service delivery performance | improve service delivery practices | develop standards and procedures for service delivery | identify improvements to service delivery | advise on emerging service delivery issues | monitor service delivery against business objectives | coordinate resources for service delivery | support consistent service delivery across locations | report on service delivery performance | oversee quality of service delivery | participate in frontline service delivery | lead service delivery model changes | manage and lead a service delivery team | manage service delivery to agreed standards | manage outsourced service delivery | align service delivery with business priorities | plan and schedule service delivery and projects | develop service delivery strategies and frameworks | drive improvements to service delivery | develop strategy for service delivery | design a service delivery model | oversee operational performance and service delivery | review current service delivery arrangements | manage integrated service delivery model | lead and coach a service delivery team | develop service delivery processes and plans | review service delivery against agreed targets | coordinate with internal teams to improve service delivery | coordinate service delivery to stakeholders | identify service delivery improvements | benchmark service delivery standards | improve security and service delivery | improve service delivery processes | manage technology service delivery | lead service delivery and planning | contribute to service delivery improvement | lead service delivery teams | coordinate with internal teams on service delivery | oversee service delivery quality | manage team performance and service delivery | develop service delivery processes and procedures | lead an operational service function | share information to support service delivery | report on service delivery and outcomes | maintain service and delivery standards | manage service delivery standards | cost and resource service delivery proposals
a004,monitor service delivery performance,Tracking how well services are being delivered against agreed standards,Yes,286,133,manage service delivery and processes | coordinate service delivery and promotion | coordinate service delivery across functional areas | support team service delivery | support implementation of a service delivery model | coordinate service delivery across teams | manage safety within service delivery | manage safety in service delivery | manage team service delivery standards | manage a service delivery team | plan service delivery for peak demand | monitor service delivery against agreed standards | coach staff to improve service delivery | lead delivery of a service portfolio | monitor team service delivery | maintain safety in service delivery | coordinate service delivery with internal stakeholders | monitor service delivery performance | lead and guide support service delivery teams | monitor service delivery across channels | address gaps in service delivery | manage costs of service delivery programs | lead strategic planning for service delivery | oversee service delivery and performance | manage service delivery risks | lead and transform a service function | set service delivery strategy and standards | oversee service delivery | resolve emerging service delivery issues | align service delivery with business objectives | monitor safety in service delivery | manage safety compliance in service delivery | manage service delivery across multiple sites | maintain systems supporting service delivery | plan service delivery capacity and resourcing | promote high quality service delivery | oversee service delivery standards | identify risks to service delivery | develop and improve service delivery methods | recommend service delivery improvements | oversee transactional service delivery | lead and manage service delivery teams | improve operational service delivery | monitor service delivery channel performance | monitor and improve service delivery outcomes | lead large-scale service delivery | lead and manage a service delivery team | promote high quality cost effective service delivery | lead a service delivery function | monitor quality and timeliness of service delivery | align investment with service delivery needs | support consistent service delivery | coordinate service delivery with internal teams | monitor service delivery against service agreements | monitor service delivery against agreed levels | improve customer service delivery | lead a service delivery team | manage a service delivery function | resolve supplier and service delivery issues | manage service delivery changes | advise on improving service delivery | improve processes and service delivery | monitor and measure service delivery performance | improve service delivery practices | develop standards and procedures for service delivery | identify improvements to service delivery | advise on emerging service delivery issues | monitor service delivery against business objectives | coordinate resources for service delivery | support consistent service delivery across locations | report on service delivery performance | oversee quality of service delivery | participate in frontline service delivery | lead service delivery model changes | manage and lead a service delivery team | manage service delivery to agreed standards | manage outsourced service delivery | align service delivery with business priorities | plan and schedule service delivery and projects | develop service delivery strategies and frameworks | drive improvements to service delivery | develop strategy for service delivery | design a service delivery model | oversee operational performance and service delivery | review current service delivery arrangements | manage integrated service delivery model | lead and coach a service delivery team | develop service delivery processes and plans | review service delivery against agreed targets | coordinate with internal teams to improve service delivery | coordinate service delivery to stakeholders | identify service delivery improvements | benchmark service delivery standards | improve security and service delivery | improve service delivery processes | manage technology service delivery | lead service delivery and planning | contribute to service delivery improvement | lead service delivery teams | coordinate with internal teams on service delivery | oversee service delivery quality | manage team performance and service delivery | develop service delivery processes and procedures | lead an operational service function | share information to support service delivery | report on service delivery and outcomes | maintain service and delivery standards | manage service delivery standards | cost and resource service delivery proposals
a005,improve service delivery processes,Finding gaps and making service delivery processes better,Yes,286,133,manage service delivery and processes | coordinate service delivery and promotion | coordinate service delivery across functional areas | support team service delivery | support implementation of a service delivery model | coordinate service delivery across teams | manage safety within service delivery | manage safety in service delivery | manage team service delivery standards | manage a service delivery team | plan service delivery for peak demand | monitor service delivery against agreed standards | coach staff to improve service delivery | lead delivery of a service portfolio | monitor team service delivery | maintain safety in service delivery | coordinate service delivery with internal stakeholders | monitor service delivery performance | lead and guide support service delivery teams | monitor service delivery across channels | address gaps in service delivery | manage costs of service delivery programs | lead strategic planning for service delivery | oversee service delivery and performance | manage service delivery risks | lead and transform a service function | set service delivery strategy and standards | oversee service delivery | resolve emerging service delivery issues | align service delivery with business objectives | monitor safety in service delivery | manage safety compliance in service delivery | manage service delivery across multiple sites | maintain systems supporting service delivery | plan service delivery capacity and resourcing | promote high quality service delivery | oversee service delivery standards | identify risks to service delivery | develop and improve service delivery methods | recommend service delivery improvements | oversee transactional service delivery | lead and manage service delivery teams | improve operational service delivery | monitor service delivery channel performance | monitor and improve service delivery outcomes | lead large-scale service delivery | lead and manage a service delivery team | promote high quality cost effective service delivery | lead a service delivery function | monitor quality and timeliness of service delivery | align investment with service delivery needs | support consistent service delivery | coordinate service delivery with internal teams | monitor service delivery against service agreements | monitor service delivery against agreed levels | improve customer service delivery | lead a service delivery team | manage a service delivery function | resolve supplier and service delivery issues | manage service delivery changes | advise on improving service delivery | improve processes and service delivery | monitor and measure service delivery performance | improve service delivery practices | develop standards and procedures for service delivery | identify improvements to service delivery | advise on emerging service delivery issues | monitor service delivery against business objectives | coordinate resources for service delivery | support consistent service delivery across locations | report on service delivery performance | oversee quality of service delivery | participate in frontline service delivery | lead service delivery model changes | manage and lead a service delivery team | manage service delivery to agreed standards | manage outsourced service delivery | align service delivery with business priorities | plan and schedule service delivery and projects | develop service delivery strategies and frameworks | drive improvements to service delivery | develop strategy for service delivery | design a service delivery model | oversee operational performance and service delivery | review current service delivery arrangements | manage integrated service delivery model | lead and coach a service delivery team | develop service delivery processes and plans | review service delivery against agreed targets | coordinate with internal teams to improve service delivery | coordinate service delivery to stakeholders | identify service delivery improvements | benchmark service delivery standards | improve security and service delivery | improve service delivery processes | manage technology service delivery | lead service delivery and planning | contribute to service delivery improvement | lead service delivery teams | coordinate with internal teams on service delivery | oversee service delivery quality | manage team performance and service delivery | develop service delivery processes and procedures | lead an operational service function | share information to support service delivery | report on service delivery and outcomes | maintain service and delivery standards | manage service delivery standards | cost and resource service delivery proposals
a006,maintain safety in service delivery,Making sure safety is managed while services are delivered,Yes,286,133,manage service delivery and processes | coordinate service delivery and promotion | coordinate service delivery across functional areas | support team service delivery | support implementation of a service delivery model | coordinate service delivery across teams | manage safety within service delivery | manage safety in service delivery | manage team service delivery standards | manage a service delivery team | plan service delivery for peak demand | monitor service delivery against agreed standards | coach staff to improve service delivery | lead delivery of a service portfolio | monitor team service delivery | maintain safety in service delivery | coordinate service delivery with internal stakeholders | monitor service delivery performance | lead and guide support service delivery teams | monitor service delivery across channels | address gaps in service delivery | manage costs of service delivery programs | lead strategic planning for service delivery | oversee service delivery and performance | manage service delivery risks | lead and transform a service function | set service delivery strategy and standards | oversee service delivery | resolve emerging service delivery issues | align service delivery with business objectives | monitor safety in service delivery | manage safety compliance in service delivery | manage service delivery across multiple sites | maintain systems supporting service delivery | plan service delivery capacity and resourcing | promote high quality service delivery | oversee service delivery standards | identify risks to service delivery | develop and improve service delivery methods | recommend service delivery improvements | oversee transactional service delivery | lead and manage service delivery teams | improve operational service delivery | monitor service delivery channel performance | monitor and improve service delivery outcomes | lead large-scale service delivery | lead and manage a service delivery team | promote high quality cost effective service delivery | lead a service delivery function | monitor quality and timeliness of service delivery | align investment with service delivery needs | support consistent service delivery | coordinate service delivery with internal teams | monitor service delivery against service agreements | monitor service delivery against agreed levels | improve customer service delivery | lead a service delivery team | manage a service delivery function | resolve supplier and service delivery issues | manage service delivery changes | advise on improving service delivery | improve processes and service delivery | monitor and measure service delivery performance | improve service delivery practices | develop standards and procedures for service delivery | identify improvements to service delivery | advise on emerging service delivery issues | monitor service delivery against business objectives | coordinate resources for service delivery | support consistent service delivery across locations | report on service delivery performance | oversee quality of service delivery | participate in frontline service delivery | lead service delivery model changes | manage and lead a service delivery team | manage service delivery to agreed standards | manage outsourced service delivery | align service delivery with business priorities | plan and schedule service delivery and projects | develop service delivery strategies and frameworks | drive improvements to service delivery | develop strategy for service delivery | design a service delivery model | oversee operational performance and service delivery | review current service delivery arrangements | manage integrated service delivery model | lead and coach a service delivery team | develop service delivery processes and plans | review service delivery against agreed targets | coordinate with internal teams to improve service delivery | coordinate service delivery to stakeholders | identify service delivery improvements | benchmark service delivery standards | improve security and service delivery | improve service delivery processes | manage technology service delivery | lead service delivery and planning | contribute to service delivery improvement | lead service delivery teams | coordinate with internal teams on service delivery | oversee service delivery quality | manage team performance and service delivery | develop service delivery processes and procedures | lead an operational service function | share information to support service delivery | report on service delivery and outcomes | maintain service and delivery standards | manage service delivery standards | cost and resource service delivery proposals
a007,maintain records and information systems,"keep records, files and databases accurate and up to date",No,12,126,"maintain records and collate data | maintain student records and results | maintain customer records in databases | maintain records and administrative processes | enter and update records in systems | maintain records in business systems | maintain records in an information system | select and edit records from external sources | maintain records in information systems | source and edit catalogue records | maintain records and systems | maintain order records and subscriptions | maintain records and filing systems | maintain confidential records and data | search and retrieve archived records | administer funds and maintain related records | maintain records and information systems | maintain inventory records | maintain records and information | maintain employee records | maintain records of support activities | manage records and files | maintain records and respond to correspondence | maintain work management system records | handle confidential information and records | maintain employee records and reports | maintain records in work management systems | maintain customer records and databases | maintain records and databases | enter and maintain database records | maintain partnership data records | collect data and maintain records | maintain records and reporting | maintain compliant records | maintain records to support certification | maintain patient records | correct data errors in records | archive records for reference | maintain records and data systems | develop and maintain employee data records | manage stocktake and reconcile stock records | maintain customer database records | manage student enrolments and records | maintain event records and databases | maintain reports and tracking records | enter and maintain data records | maintain project databases and records | maintain records and produce reports | maintain records and information repositories | maintain database systems and records | remediate and cleanse data records | maintain records and document management systems | perform reconciliations and maintain records | maintain appointment and compliance records | manage records and correspondence | maintain databases and information records | maintain contract information and records | perform data entry and records management | maintain records management systems | support and troubleshoot records systems | maintain records and files | manage records storage retrieval and archiving | reconcile payments and leave records | maintain databases and records | digitise records and perform data entry | administer student records from enrolment to completion | enter records into information systems | maintain administrative records and databases | support records and data management | log and maintain problem records | maintain records databases | manage records storage and retrieval | maintain employee data records | maintain records and administrative systems | set up and maintain vendor records | maintain records and reporting systems | enter data into records systems | maintain records for compliance | maintain records and data entry | create, file and retrieve records | maintain archival records and search systems | register clients and create records | maintain confidential records | maintain records and update databases | maintain business systems and records | maintain records and business data | maintain progress tracking records | configure records in information systems | update and maintain data records | maintain program data and records | monitor use of records management systems | maintain regulatory registration records | maintain records of support provided | maintain employee records and data"
a008,edit and finish video content,Editing and finishing video content,Yes,60,102,maintain website and intranet content | design engaging content and resources | write content for different audiences | review content performance data | develop writing and content standards | plan and prepare video content production | edit and finish video content | generate creative content ideas and narratives | review content against brand and technical specifications | convert content between formats | source content for publications | maintain online content and respond to inquiries | review content for accessibility | coordinate rollout of published content | write standard customer response content | support content publication across channels | create multimedia content | coordinate content production and distribution | develop written content for multiple channels | review and refine underperforming content | advise on channels for content delivery | edit and approve others' written content | coordinate content development projects | prepare content for annual reporting | publish content to shared platforms | support digital content testing and publishing | review content for brand alignment | develop digital creative content | create and schedule digital content | test and optimise digital content | manage and guide a content development team | coordinate periodic review of content | maintain content versions and review cycles | report usage and impact of published content | manage content platforms | develop content use policies and standards | manage content sharing arrangements | maintain content quality and currency | manage metadata and content cataloguing | coordinate content publishing and maintenance | align content with style standards | design and develop content and information | adapt content for different channels and mediums | review edit and approve content | develop creative content ideas | review content against brand standards | design accessible digital content | identify required updates to training content | adapt creative content for new channels | lead development of digital content and products | maintain website content | write standard response and help content | maintain automated messaging content | monitor content usage and feedback | review content from user perspective | manage online content and site consistency | read write and scribe for others | integrate content into production systems | monitor content performance | identify content needs with stakeholders | align content with corporate messaging | design digital content and resources | write and edit award submission content | review and maintain catalogue content | coordinate content updates and archiving | store and maintain culturally informed content | review content for cultural safety and inclusion | review content against standards | create accessible and inclusive content | embed cultural perspectives into content | develop content to required standards | develop inclusive and accessible content | identify and source quality content | manage content development | design multimedia content | archive digital content | design digital multimedia content | develop inclusive course content | incorporate cultural perspectives into content | design and produce digital media content | create accessible content for diverse audiences | support content development and integration | design and produce digital content | develop inclusive and culturally safe content | review content for inclusivity and cultural safety | review content against established guidelines | write and edit content for multiple channels | manage social media content | coordinate a content calendar | develop and schedule online content | support website content updates | maintain web and intranet content | support testing and deployment of digital content
a009,develop training materials,"create training guides, resources, and support materials for learners or system users",Yes,96,109,"recommend updates to course and assessment materials | develop promotional materials with stakeholders | prepare and pack away activity materials | dispose of surplus materials for recycling | prepare and issue tools and materials | develop promotional materials and displays | prepare written and digital materials | store and dispose of hazardous materials safely | manage hazardous materials storage and disposal | prepare and issue tools, equipment and materials | assist with preparing and maintaining materials | collect and secure examination materials | provide equipment and materials for class support | develop procedures and training materials | develop training materials | report recurring issues to inform training materials | prepare advice and support materials | purchase supplies and materials | collect materials for scheduled activities | maintain presentation of spaces and materials | design content and materials | developing training and support materials | design campaign and event materials | review materials for brand compliance and accuracy | develop promotional materials | review and update course materials | handle and store hazardous materials safely | reuse and recycle materials | coordinate materials and equipment preparation | develop procedures and support materials | prepare course and promotional materials | supply specialist content and materials | issue materials and equipment to users | order goods and materials | record and dispense materials | collect and deliver materials and equipment | store and dispose of hazardous materials | develop training materials and work procedures | collect and prepare materials | prepare materials for classes | develop templates and support materials | develop and maintain training materials | develop event content and creative materials | review materials for brand consistency | coordinate production of materials and deliverables | prepare workshop materials and outputs | maintain currency of technical reference materials | design creative materials to stakeholder requirements | coordinate production and distribution of materials | maintain supplies of materials and consumables | develop co-branded partnership materials | develop sales support materials | prepare and distribute materials and tools | issue and collect equipment and materials | recycle and dispose of materials | prepare speaking notes and briefing materials | publish training materials to learning platform | coordinating production and distribution of materials | maintain up-to-date information materials | develop and update briefing materials | develop training materials for system users | maintain reference materials | assist with presentation and briefing materials | review training materials against quality standards | develop training evaluation processes and materials | track development of training materials | manage sign-off of training materials | develop training and support materials | develop training resources | maintain training materials | coordinate processing of materials and orders | manage hazardous materials safely | prepare teaching spaces and materials | prepare information and promotional materials | review curriculum and assessment materials | prepare program documentation and training materials | incorporate third-party content into materials | develop training materials and online content | develop support and training materials | develop training and awareness materials | develop awareness and training materials | prepare materials for print and production | develop training resources and materials | review course materials for compliance | develop training materials and resources | create accessible and inclusive materials | support integration of sourced materials | develop key messages and materials | review process documentation and training materials | coordinate availability of materials and equipment | prepare materials and schedule events"
